Wall time,Step,Value
1765123792.419219,421,0.9753485918045044
1765123801.908766,843,0.632975161075592
1765123811.549087,1265,0.5913251042366028
1765123821.282518,1687,0.5740724205970764
1765123831.549763,2109,0.564099907875061
1765123841.489275,2531,0.5567905306816101
1765123851.266631,2953,0.5516935586929321
1765123861.038972,3375,0.5479304194450378
1765123870.801568,3797,0.5441269874572754
1765123880.624285,4219,0.5411301255226135
1765123890.426234,4641,0.5386270880699158
1765123900.173546,5063,0.5362367630004883
1765123909.929152,5485,0.5343779921531677
1765123919.662553,5907,0.5324145555496216
1765123929.43755,6329,0.5304969549179077
1765123939.2808058,6751,0.5290161967277527
1765123949.0561159,7173,0.5274832844734192
1765123958.8174982,7595,0.5259836912155151
1765123968.59011,8017,0.5241327285766602
1765123978.403337,8439,0.5232164859771729
1765123988.22238,8861,0.5219930410385132
1765123997.9665248,9283,0.5214499831199646
1765124007.720524,9705,0.519963800907135
1765124017.4812312,10127,0.5193031430244446
1765124027.3060632,10549,0.5181115865707397
1765124037.206552,10971,0.5172901749610901
1765124047.0751512,11393,0.5163844227790833
1765124057.0956979,11815,0.5158244371414185
1765124067.1866739,12237,0.5150139927864075
1765124077.074934,12659,0.5145682692527771
1765124087.397729,13081,0.5137154459953308
1765124097.581481,13503,0.513159990310669
1765124107.716084,13925,0.5125574469566345
1765124117.93413,14347,0.5118874311447144
1765124127.806731,14769,0.5111666917800903
1765124137.6355488,15191,0.510847806930542
1765124147.409926,15613,0.5103904604911804
1765124157.217932,16035,0.5098312497138977
1765124167.009268,16457,0.5093796253204346
1765124176.825106,16879,0.5086665749549866
1765124186.6131258,17301,0.5083317160606384
1765124196.3468852,17723,0.5077598094940186
1765124206.067862,18145,0.5077944397926331
1765124215.8201401,18567,0.5074592232704163
1765124225.635322,18989,0.5066368579864502
1765124235.595784,19411,0.5062911510467529
1765124245.3651462,19833,0.5059082508087158
1765124255.107038,20255,0.505571186542511
1765124264.90611,20677,0.5052658319473267
1765124274.682576,21099,0.5049312710762024
1765124284.483822,21521,0.504553496837616
1765124294.316864,21943,0.5040271282196045
1765124304.065829,22365,0.504048228263855
1765124313.893601,22787,0.5041043162345886
1765124323.945667,23209,0.5033614635467529
1765124333.896213,23631,0.5030895471572876
1765124343.915623,24053,0.5027542114257812
1765124353.820703,24475,0.5025188326835632
1765124363.597301,24897,0.502043604850769
1765124373.575419,25319,0.5016621351242065
1765124383.422615,25741,0.5013865232467651
1765124393.193277,26163,0.5014334917068481
1765124403.059388,26585,0.5009454488754272
1765124412.988981,27007,0.5006014704704285
1765124422.876556,27429,0.500634491443634
1765124432.6587892,27851,0.5002065300941467
1765124442.532228,28273,0.5001004338264465
1765124452.7926779,28695,0.49982306361198425
1765124463.1576698,29117,0.4994385242462158
1765124472.964482,29539,0.4992648661136627
1765124482.784954,29961,0.49900826811790466
1765124492.623492,30383,0.4990134835243225
1765124502.653007,30805,0.4990020990371704
1765124512.344652,31227,0.4982486367225647
1765124522.7760231,31649,0.49825894832611084
1765124532.901354,32071,0.4979538917541504
1765124543.2065809,32493,0.4977308213710785
1765124552.943172,32915,0.49776503443717957
1765124562.8693051,33337,0.4973168671131134
1765124572.903841,33759,0.49735963344573975
